1,Hum 4145,Islamiat,101,1,2
2,Hum 4147,"Technology, Environment and Society",102,1,3
3,Math 4141,Geometry and Differential Calculus,103,1,4
4,Phy 4141,Physics I,104,1,3
5,CSE 4105,Computing for Engineers,105,1,3
6,CSE 4107,Structured Programming I,106,1,3
7,Hum 4142,Arabic I,107,1,1
8,Hum 4144,English I,108,1,1
9,Phy 4142,Physics I Lab,109,1,1
10,CSE 4104,Engineering Drawing Lab,110,1,1
11,CSE 4108,Structured Programming I Lab,111,1,2
12,Hum 4241,Islamic History Science and Culture,112,2,2
13,Math 4241,Integral Calculus and Differential Equations,113,2,4
14,Phy 4241,Physics II,114,2,3
15,Chem 4241,Chemistry,115,2,3
16,CSE 4203,Discrete Mathematics,116,2,3
17,CSE 4205,Digital Logic Design,117,2,3
18,Hum 4242,Arabic II,118,2,1
19,Hum 4244,English II,119,2,1
20,Phy 4242,Physics II Lab,120,2,1
21,Chem 4242,Chemistry Lab,121,2,1
22,CSE 4202,Structured Programming II Lab,122,2,2
23,CSE 4206,Digital Logic Design Lab,123,2,1
24,Math 4341,Linear Algebra,124,3,3
25,EEE 4383,Electronic Devices and Circuits,125,3,3
26,CSE 4301,Object Oriented Programming,126,3,3
27,CSE 4303,Data Structures,127,3,3
28,CSE 4305,Computer Organization and Architecture,128,3,3
29,CSE 4307,Database Management Systems,129,3,3
30,EEE 4384,Electronic Devices and Circuits Lab,130,3,1
31,CSE 4302,Object Oriented Programming Lab,131,3,2
32,CSE 4304,Data Structures Lab,132,3,2
33,CSE 4308,Database Management Systems Lab,133,3,1
34,Hum 4441,Engineering Ethics,134,4,3
35,Math 4441,Probability and Statistics,135,4,3
36,EEE 4483,Digital Electronics and Pulse Techniques,136,4,3
37,CSE 4403,Algorithms,137,4,3
38,CSE 4405,Data and Telecommunications,138,4,4
39,CSE 4407,System Analysis and Design,139,4,2
40,EEE 4484,Digital Electronics and Pulse Techniques Lab,140,4,1
41,CSE 4402,Visual Programming Lab,141,4,2
42,CSE 4404,Algorithms Lab,142,4,1
43,CSE 4408,System Analysis and Design Lab,143,4,1
44,CSE 4501,Operating Systems,144,5,3
45,CSE 4503,Microprocessor and Assembly Language,145,5,3
46,CSE 4511,Computer Networks,146,5,3
47,CSE 4513,Software Engineering and ObjectOriented Design,147,5,3
48,CSE 4502,Operating Systems Lab,148,5,1
49,CSE 4504,Microprocessor and Assembly Language Lab,149,5,1
50,CSE 4508,RDBMS Programming Lab,150,5,2
51,CSE 4510,Software Development,151,5,1
52,CSE 4512,Computer Networks Lab,152,5,2
53,Math 4541,Multivariable Calculus and Complex Variables,153,5,3
54,CSE 4531,E-Commerce and Web Security,154,5,3
55,CSE 4537,Decision Support Systems,155,5,3
56,CSE 4547,Parallel and Distributed Systems,156,5,3
57,CSE 4539,Web Programming,157,5,3
58,CSE 4543,Geographical Information Systems,158,5,3
59,CSE 4549,Simulation and Modeling,159,5,3
60,CSE 4551,Computer Graphics and Multimedia Systems,160,5,3
61,CSE 4540,Web Programming Lab,161,5,1
62,CSE 4544,Geographical Information Systems Lab,162,5,1
63,CSE 4550,Simulation and Modeling Lab,163,5,1
64,CSE 4552,Computer Graphics and Multimedia Systems Lab,164,5,1
65,Hum 4641,Accounting,101,6,3
66,CSE 4615,Wireless Networks,102,6,2
67,CSE 4619,Peripherals and Interfacing,103,6,3
68,CSE 4621,Machine Learning,104,6,3
69,CSE 4610,Design Project,105,6,2
70,CSE 4614,Technical Report Writing,106,6,1
71,CSE 4616,Wireless Networks Lab,107,6,1
72,CSE 4620,Peripherals and Interfacing Lab,108,6,1
73,CSE 4622,Machine Learning Lab,109,6,1
74,Math 4641,Numerical Methods,110,6,3
75,CSE 4641,Distributed Operating Systems,111,6,3
76,CSE 4643,Mobile Application Development,112,6,3
77,CSE 4647,Distributed Database Systems,113,6,3
78,Math 4642,Numerical Methods Lab,114,6,1
79,CSE 4642,Distributed Operating Systems Lab,115,6,1
80,CSE 4644,Mobile Application Development Lab,116,6,1
81,CSE 4648,Distributed Database Systems Lab,117,6,1
82,CSE 4631,Digital Signal Processing,118,6,3
83,CSE 4635,Web Architecture,119,6,3
84,CSE 4649,Systems Programming,120,6,3
85,CSE 4651,Unix Programming,121,6,3
86,CSE 4632,Digital Signal Processing Lab,122,6,1
87,CSE 4636,Web Architecture Lab,123,6,1
88,CSE 4650,Systems Programming Lab,124,6,1
89,CSE 4652,Unix Programming Lab,125,6,1
90,Hum 4741,Business Communication and Law,126,7,2
91,Hum 4743,Engineering Economics,127,7,2
92,Hum 4745,International Relationship,128,7,2
