93,Math 4741,Mathematical Analysis,129,7,3
94,CSE 4703,Theory of Computing,130,7,3
95,CSE 4711,Artificial Intelligence,131,7,3
96,CSE 4712,Artificial Intelligence Lab,132,7,1
97,CSE 4700,Project/Thesis,133,7,3
98,CSE 4790,Industrial Training,134,7,1
99,CSE 4739,Data Mining,135,7,3
100,CSE 4743,Cryptography and Network Security,136,7,3
101,CSE 4745,Embedded Systems Design,137,7,3
102,CSE 4747,Computational Biology,138,7,3
103,CSE 4733,Digital Image Processing,139,7,3
104,CSE 4735,Digital Systems Design,140,7,3
105,CSE 4749,Introduction to Cloud Computing,141,7,3
106,CSE 4751,Network Programming,142,7,3
107,CSE 4753,Bioinformatics,143,7,3
108,CSE 4734,Digital Image Processing Lab,144,7,1
109,CSE 4736,Digital Systems Design Lab,145,7,1
110,CSE 4750,Introduction to Cloud Computing Lab,146,7,1
111,CSE 4752,Network Programming Lab,147,7,1
112,CSE 4754,Bioinformatics Lab,148,7,1
113,CSE 4801,Compiler Design,149,8,3
114,CSE 4803,Graph Theory,150,8,3
115,CSE 4807,IT Organization and Management,151,8,3
116,CSE 4809,Algorithm Engineering,152,8,2
117,CSE 4802,Compiler Design Lab,153,8,1
118,CSE 4810,Algorithm Engineering Lab,154,8,1
119,CSE 4800,Project/Thesis,155,8,3
120,CSE 4841,Introduction to Optimization,156,8,3
121,CSE 4845,Introduction to Information Retrieval,157,8,3
122,CSE 4847,Information and OS Security,158,8,3
123,CSE 4849,Human Computer Interaction,159,8,3
124,CSE 4851,Design Pattern,160,8,3
125,CSE 4833,VLSI Design and Testing,161,8,3
126,CSE 4835,Pattern Recognition,162,8,3
127,CSE 4839,Internetworking Protocols,163,8,3
128,CSE 4834,VLSI Design and Testing Lab,164,8,1
129,CSE 4836,Pattern Recognition Lab,165,8,1
130,CSE 4840,Internetworking Protocols Lab,101,8,1
